id,treatment_match,costs,er_amount_total,dayXlocation,us_stu_insch,us_stu_edlvl,us_stu_grade,us_stu_edlvl_all,us_stu_female,us_stu_mig_rel,us_stu_age,us_stu_grade_all,us_stu_yearsofed,us_stu_mig_rel_child,us_stu_mig_rel_sib,us_stu_mig_rel_niece,us_stu_mig_rel_cousin,treatment_tmp1,treatment_tmp2
100026.0,0,0.0,0.0,1.18945,1.0,4.0,13.0,4.0,1.0,2.0,18.0,13.0,13.0,0.0,1.0,0.0,0.0,0.0,
100031.0,0,0.0,0.0,1.18961,1.0,3.0,9.0,3.0,1.0,5.0,14.0,9.0,9.0,0.0,0.0,0.0,1.0,0.0,
100035.0,0,0.0,0.0,1.18961,1.0,3.0,9.0,3.0,0.0,5.0,17.0,9.0,9.0,0.0,0.0,0.0,1.0,0.0,
100038.0,0,0.0,0.0,1.18961,1.0,4.0,11.0,4.0,0.0,9.0,18.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,
100040.0,0,0.0,0.0,1.18961,1.0,5.0,2.0,5.0,0.0,5.0,18.0,2.0,14.0,0.0,0.0,0.0,1.0,0.0,
100041.0,0,0.0,0.0,1.18969,1.0,4.0,10.0,4.0,0.0,1.0,16.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,
100044.0,0,0.0,0.0,1.18961,1.0,4.0,10.0,4.0,1.0,5.0,15.0,10.0,10.0,0.0,0.0,0.0,1.0,0.0,
100045.0,0,0.0,0.0,1.18969,1.0,4.0,10.0,4.0,1.0,1.0,17.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,
100049.0,0,0.0,0.0,1.18983,1.0,3.0,9.0,3.0,1.0,4.0,15.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,
100050.0,0,0.0,0.0,1.18983,1.0,3.0,9.0,3.0,1.0,2.0,15.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,
100051.0,0,0.0,0.0,1.18969,1.0,3.0,9.0,3.0,1.0,1.0,16.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,
100054.0,0,0.0,0.0,1.18969,1.0,4.0,11.0,4.0,0.0,1.0,18.0,11.0,11.0,1.0,0.0,0.0,0.0,0.0,
100055.0,0,0.0,0.0,1.1899,1.0,5.0,1.0,5.0,0.0,1.0,19.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,
100059.0,0,0.0,0.0,1.1899,1.0,4.0,11.0,4.0,1.0,4.0,14.0,11.0,11.0,0.0,0.0,1.0,0.0,0.0,
100060.0,0,0.0,0.0,1.1899,1.0,5.0,1.0,5.0,1.0,4.0,22.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0,
100061.0,0,0.0,0.0,1.18977,1.0,4.0,12.0,4.0,1.0,1.0,17.0,12.0,12.0,1.0,0.0,0.0,0.0,0.0,
100066.0,0,0.0,0.0,1.19012,1.0,5.0,2.0,5.0,1.0,4.0,19.0,2.0,14.0,0.0,0.0,1.0,0.0,0.0,
100072.0,0,0.0,0.0,1.1899,1.0,3.0,9.0,3.0,0.0,4.0,17.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,
100073.0,0,0.0,0.0,1.18977,1.0,3.0,9.0,3.0,0.0,1.0,15.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,
100074.0,0,0.0,0.0,1.18977,1.0,3.0,9.0,3.0,1.0,4.0,15.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,
100075.0,0,0.0,0.0,1.1899,1.0,4.0,12.0,4.0,0.0,8.0,19.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,
100077.0,0,0.0,0.0,1.1899,1.0,4.0,11.0,4.0,0.0,2.0,17.0,11.0,11.0,0.0,1.0,0.0,0.0,0.0,
100078.0,0,0.0,0.0,1.18983,1.0,4.0,12.0,4.0,0.0,5.0,16.0,12.0,12.0,0.0,0.0,0.0,1.0,0.0,
100079.0,0,0.0,0.0,1.19001,1.0,5.0,4.0,5.0,0.0,5.0,26.0,4.0,16.0,0.0,0.0,0.0,1.0,0.0,
100081.0,0,0.0,0.0,1.18983,1.0,4.0,10.0,4.0,0.0,5.0,20.0,10.0,10.0,0.0,0.0,0.0,1.0,0.0,
100082.0,0,0.0,0.0,1.19012,1.0,4.0,11.0,4.0,1.0,4.0,19.0,11.0,11.0,0.0,0.0,1.0,0.0,0.0,
100083.0,0,0.0,0.0,1.19022,1.0,4.0,10.0,4.0,1.0,4.0,17.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,
100084.0,0,0.0,0.0,1.19022,1.0,3.0,9.0,3.0,0.0,5.0,17.0,9.0,9.0,0.0,0.0,0.0,1.0,0.0,
100085.0,0,0.0,0.0,1.19022,1.0,5.0,3.0,5.0,1.0,7.0,22.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,
100087.0,0,0.0,0.0,1.18983,1.0,5.0,2.0,5.0,1.0,4.0,23.0,2.0,14.0,0.0,0.0,1.0,0.0,0.0,
100088.0,0,0.0,0.0,1.18983,1.0,4.0,12.0,4.0,1.0,2.0,21.0,12.0,12.0,0.0,1.0,0.0,0.0,0.0,
100089.0,0,0.0,0.0,1.18983,1.0,5.0,2.0,5.0,0.0,1.0,21.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,
100092.0,0,0.0,0.0,1.19012,1.0,4.0,11.0,4.0,1.0,1.0,17.0,11.0,11.0,1.0,0.0,0.0,0.0,0.0,
100093.0,0,0.0,0.0,1.19012,1.0,5.0,3.0,5.0,1.0,4.0,22.0,3.0,15.0,0.0,0.0,1.0,0.0,0.0,
100095.0,0,0.0,0.0,1.19001,1.0,5.0,7.0,5.0,1.0,2.0,30.0,7.0,19.0,0.0,1.0,0.0,0.0,0.0,
100097.0,0,0.0,0.0,1.19001,1.0,5.0,5.0,5.0,1.0,2.0,25.0,5.0,17.0,0.0,1.0,0.0,0.0,0.0,
100098.0,0,0.0,0.0,1.19022,1.0,4.0,12.0,4.0,0.0,4.0,18.0,12.0,12.0,0.0,0.0,1.0,0.0,0.0,
100099.0,0,0.0,0.0,1.19012,1.0,3.0,9.0,3.0,1.0,4.0,15.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,
100100.0,0,0.0,0.0,1.19012,1.0,6.0,1.0,6.0,1.0,1.0,16.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,
100101.0,0,0.0,0.0,1.19022,1.0,5.0,2.0,5.0,1.0,1.0,18.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,
100102.0,0,0.0,0.0,1.19012,1.0,4.0,11.0,4.0,1.0,1.0,19.0,11.0,11.0,1.0,0.0,0.0,0.0,0.0,
100103.0,0,0.0,0.0,1.19012,1.0,4.0,12.0,4.0,1.0,4.0,20.0,12.0,12.0,0.0,0.0,1.0,0.0,0.0,
100104.0,0,0.0,0.0,1.19012,1.0,4.0,11.0,4.0,1.0,4.0,17.0,11.0,11.0,0.0,0.0,1.0,0.0,0.0,
100105.0,0,0.0,0.0,1.19012,1.0,4.0,10.0,4.0,1.0,4.0,19.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,
100106.0,0,0.0,0.0,1.19022,1.0,4.0,12.0,4.0,1.0,1.0,18.0,12.0,12.0,1.0,0.0,0.0,0.0,0.0,
100107.0,0,0.0,0.0,1.19022,1.0,4.0,11.0,4.0,0.0,2.0,16.0,11.0,11.0,0.0,1.0,0.0,0.0,0.0,
100108.0,0,0.0,0.0,1.19022,1.0,4.0,12.0,4.0,0.0,1.0,17.0,12.0,12.0,1.0,0.0,0.0,0.0,0.0,
100117.0,0,0.0,0.0,1.19018,1.0,4.0,11.0,4.0,1.0,1.0,17.0,11.0,11.0,1.0,0.0,0.0,0.0,0.0,
100118.0,0,0.0,0.0,1.19018,1.0,5.0,3.0,5.0,1.0,5.0,23.0,3.0,15.0,0.0,0.0,0.0,1.0,0.0,
100119.0,0,0.0,0.0,1.19018,1.0,4.0,10.0,4.0,1.0,4.0,16.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,
100120.0,0,0.0,0.0,1.19018,1.0,5.0,3.0,5.0,1.0,2.0,31.0,3.0,15.0,0.0,1.0,0.0,0.0,0.0,
100121.0,0,0.0,0.0,1.19018,1.0,5.0,1.0,5.0,1.0,5.0,19.0,1.0,13.0,0.0,0.0,0.0,1.0,0.0,
100122.0,0,0.0,0.0,1.19018,1.0,5.0,2.0,5.0,1.0,5.0,22.0,2.0,14.0,0.0,0.0,0.0,1.0,0.0,
100123.0,0,0.0,0.0,1.19018,1.0,5.0,3.0,5.0,1.0,4.0,24.0,3.0,15.0,0.0,0.0,1.0,0.0,0.0,
100124.0,0,0.0,0.0,1.19018,1.0,5.0,1.0,5.0,0.0,1.0,20.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,
110024.0,0,0.0,0.0,1.1894,1.0,6.0,3.0,6.0,0.0,2.0,26.0,3.0,15.0,0.0,1.0,0.0,0.0,0.0,
110025.0,0,0.0,0.0,1.18946,1.0,4.0,13.0,4.0,0.0,6.0,19.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,
110030.0,0,0.0,0.0,1.18946,1.0,4.0,13.0,4.0,1.0,4.0,16.0,13.0,13.0,0.0,0.0,1.0,0.0,0.0,
110031.0,0,0.0,0.0,1.18953,1.0,4.0,10.0,4.0,1.0,1.0,16.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,
110040.0,0,0.0,0.0,1.1896,1.0,5.0,1.0,5.0,1.0,1.0,23.0,1.0,13.0,1.0,0.0,0.0,0.0,0.0,
110045.0,0,0.0,0.0,1.18953,1.0,3.0,9.0,3.0,1.0,2.0,16.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,
110046.0,0,0.0,0.0,1.18978,1.0,3.0,9.0,3.0,0.0,3.0,17.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,
110048.0,0,0.0,0.0,1.1894,1.0,4.0,10.0,4.0,0.0,5.0,15.0,10.0,10.0,0.0,0.0,0.0,1.0,0.0,
110049.0,0,0.0,0.0,1.18953,1.0,3.0,9.0,3.0,1.0,1.0,17.0,9.0,9.0,1.0,0.0,0.0,0.0,0.0,
110050.0,0,0.0,0.0,1.18978,1.0,5.0,2.0,5.0,0.0,1.0,22.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,
110051.0,0,0.0,0.0,1.18978,1.0,5.0,1.0,5.0,1.0,9.0,18.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,
110052.0,0,0.0,0.0,1.18989,1.0,5.0,2.0,5.0,0.0,4.0,18.0,2.0,14.0,0.0,0.0,1.0,0.0,0.0,
110057.0,0,0.0,0.0,1.1896,1.0,3.0,9.0,3.0,0.0,4.0,14.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,
110059.0,0,0.0,0.0,1.1896,1.0,3.0,9.0,3.0,0.0,4.0,15.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,
110060.0,0,0.0,0.0,1.1896,1.0,4.0,11.0,4.0,0.0,4.0,16.0,11.0,11.0,0.0,0.0,1.0,0.0,0.0,
