girl,std_mark,realpercentile,kcpe2001,kcpe2004,total_2004,rotation,total1_2005,streams1_2005,init_clsize,Nteachers,gradesize,schoolsize,Y2,schoolid,streamsize,Y1,Nteachers_prim,treatment,costs
1,1.2499709,86.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,2.3000002,16,0,0
1,0.87431425,79.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,1.35,16,0,0
0,1.6030883,94.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,2.6142857,16,0,0
0,0.25072405,64.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,6.2,16,0,0
1,-0.7109572,31.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,5.5,16,0,0
1,-0.32778734,47.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,2.5142856,16,0,0
0,-0.7860885,34.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,3.05,16,0,0
1,-0.23762971,52.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,1.0,16,0,0
1,2.204139,99.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,6.9714284,16,0,0
0,0.8893405,79.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,6.1785717,16,0,0
0,-0.83116734,22.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,1.9071429,16,0,0
1,0.4761181,70.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,5.9285717,16,0,0
0,-0.8612199,21.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,2.9428573,16,0,0
1,-0.59826016,36.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,3.2714286,16,0,0
0,-0.26016912,58.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,0.51428574,16,0,0
1,-1.199311,10.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,2.7,16,0,0
0,-0.50058943,40.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,4.2,16,0,0
0,-0.5757208,37.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,0.6642858,16,0,0
1,0.025330003,59.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,2.2,16,0,0
0,-0.5231288,39.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,3.15,16,0,0
1,-0.65085214,40.0,254.46,256.0,748,0,158.0,1,158.0,10,143.0,1.46,0.0,441,143.0,5.9285717,16,0,0
