pupil_id,a01,treatment,pre_theta_sd,post_theta_sd,ple_tried,ple_pass,books_with,b_homework_pp,b_fem_pp,b_elec_pp,b_cement_pp,b_radio_pp,b_edhigh_teacher,b_fem_teacher,decile,scores_top,decile_decile,baseline_score,endline_score
1001007.0,1001.0,0.0,-1.4837382044190122,-0.985367504955539,0,0,0,0,1,0,0,1,0,0,0.0,0,0.0,18.0,20.0
1001008.0,1001.0,0.0,-1.3403346221370958,-1.3250138625767456,0,0,0,1,1,0,0,1,0,0,0.0,0,0.0,18.0,18.0
1001017.0,1001.0,0.0,-1.343167798821914,-0.4864715761679985,0,0,0,1,1,0,0,1,0,0,0.0,0,0.0,16.0,26.0
1002007.0,1002.0,0.0,-1.4045962995819825,,0,0,0,1,0,0,0,1,0,0,0.0,0,0.0,16.0,
1002022.0,1002.0,0.0,-1.8768604210110982,-1.860448558863574,1,0,0,1,1,1,1,1,0,0,0.0,0,0.0,14.0,14.0
1002025.0,1002.0,0.0,-1.8385990992006782,-0.8883830445773632,0,0,0,0,0,0,0,1,0,0,0.0,0,0.0,12.0,20.0
1002030.0,1002.0,0.0,-1.3670316737134522,,0,0,0,0,1,1,0,0,0,0,0.0,0,0.0,18.0,
1002032.0,1002.0,0.0,-2.6377318056725567,-2.196941334537107,0,0,0,1,1,0,0,1,0,0,0.0,0,0.0,6.0,10.0
1002035.0,1002.0,0.0,-1.5551279463701084,-1.226254171203288,1,0,0,0,1,1,1,1,0,0,0.0,0,0.0,16.0,22.0
1002044.0,1002.0,0.0,-1.4415766688268208,,0,0,0,0,1,0,0,1,0,0,0.0,0,0.0,16.0,
1002045.0,1002.0,0.0,-1.3466281489213179,-1.5661174524794006,1,1,0,1,1,0,0,1,0,0,0.0,0,0.0,16.0,14.0
1005006.0,1005.0,0.0,-1.2814463675669923,,0,0,0,1,1,1,0,1,0,0,0.0,0,0.0,18.0,
1005009.0,1005.0,0.0,-1.5230676329037287,,0,0,0,1,1,1,0,0,0,0,0.0,0,0.0,18.0,
1005012.0,1005.0,0.0,-1.3715384715459538,,0,0,0,1,1,1,0,1,0,0,0.0,0,0.0,18.0,
1005024.0,1005.0,0.0,-1.5970044396003524,0.5715174312508573,1,1,0,0,1,1,1,0,0,0,0.0,0,0.0,16.0,36.0
1005031.0,1005.0,0.0,-1.7837443544887353,,0,0,0,1,1,0,0,1,0,0,0.0,0,0.0,12.0,
1011015.0,1011.0,1.0,-2.412092699785737,,0,0,0,1,0,1,1,0,0,0,0.0,0,4000.0,10.0,
1012005.0,1012.0,1.0,-1.7468860507581832,-0.508810935678346,1,1,0,1,1,1,1,1,0,0,0.0,0,10000.0,14.0,24.0
1012014.0,1012.0,1.0,-1.469442233650561,-1.4442084975767924,0,0,0,1,1,1,1,1,0,0,0.0,0,14000.0,18.0,18.0
1012024.0,1012.0,1.0,-1.4647348900662203,,0,0,0,1,0,0,0,0,0,0,0.0,0,14000.0,16.0,
1012029.0,1012.0,1.0,-2.100656244044179,,0,0,0,1,0,0,1,1,0,0,0.0,0,6000.0,12.0,
1013027.0,1013.0,1.0,-1.4738737599775389,,0,0,1,1,1,1,0,1,0,0,0.0,0,14000.0,14.0,
1016012.0,1016.0,1.0,-2.5068080518304345,-1.5929447250972848,0,0,0,1,1,0,0,1,0,0,0.0,0,2000.0,10.0,16.0
1018028.0,1018.0,1.0,-2.10175830979912,,0,0,1,1,1,1,1,1,0,0,0.0,0,6000.0,12.0,
1022003.0,1022.0,0.0,-1.6409432116453442,-0.614415554380708,0,0,0,1,1,0,1,0,0,0,0.0,0,0.0,14.0,24.0
1023003.0,1023.0,0.0,-1.2683901706364118,,0,0,0,1,1,0,1,1,1,0,0.0,0,0.0,18.0,
1023007.0,1023.0,0.0,-1.723905914146417,,0,0,0,1,1,0,0,1,1,0,0.0,0,0.0,12.0,
1023010.0,1023.0,0.0,-1.7163296967334305,,0,0,0,1,1,1,1,1,1,0,0.0,0,0.0,16.0,
1023041.0,1023.0,0.0,-1.6069281118872023,-0.5657294632981754,0,0,0,0,0,1,1,1,1,0,0.0,0,0.0,14.0,26.0
1023072.0,1023.0,0.0,-1.5813932897913388,-0.4742116127208042,0,0,0,0,0,1,1,1,1,0,0.0,0,0.0,16.0,24.0
1024004.0,1024.0,0.0,-1.5283841007849897,-0.7325635411019054,0,0,1,1,1,0,0,1,1,0,0.0,0,0.0,16.0,22.0
1024005.0,1024.0,0.0,-1.3337973654158048,,0,0,1,1,1,0,0,1,1,0,0.0,0,0.0,16.0,
1024006.0,1024.0,0.0,-1.4660114306252616,-0.529505753175027,0,0,1,1,1,1,1,0,1,0,0.0,0,0.0,16.0,26.0
1027023.0,1027.0,1.0,-1.310900522139636,-0.5173117024316038,0,0,0,1,1,0,0,0,1,0,0.0,0,20000.0,18.0,26.0
1027043.0,1027.0,1.0,-1.8871902652940067,-2.4489861658714447,0,0,0,1,1,0,0,1,1,0,0.0,0,8000.0,12.0,10.0
1027047.0,1027.0,1.0,-1.3757007317767953,-1.8205851438902934,1,0,0,1,1,0,1,1,1,0,0.0,0,18000.0,18.0,14.0
